LCLID,timestamp,year,energy
MAC000002,1/4/2014 12:00:00 AM,2014,0.452
MAC000002,1/4/2014 12:30:00 AM,2014,0.47
MAC000002,1/4/2014 1:00:00 AM,2014,0.431
MAC000002,1/4/2014 1:30:00 AM,2014,0.478
MAC000002,1/4/2014 2:00:00 AM,2014,0.264
MAC000002,1/4/2014 2:30:00 AM,2014,0.156
MAC000002,1/4/2014 3:00:00 AM,2014,0.086
MAC000002,1/4/2014 3:30:00 AM,2014,0.124
MAC000002,1/4/2014 4:00:00 AM,2014,0.096
MAC000002,1/4/2014 4:30:00 AM,2014,0.109
MAC000002,1/4/2014 5:00:00 AM,2014,0.106
MAC000002,1/4/2014 5:30:00 AM,2014,0.096
MAC000002,1/4/2014 6:00:00 AM,2014,0.118
MAC000002,1/4/2014 6:30:00 AM,2014,0.084
MAC000002,1/4/2014 7:00:00 AM,2014,0.126
MAC000002,1/4/2014 7:30:00 AM,2014,0.074
MAC000002,1/4/2014 8:00:00 AM,2014,0.127
MAC000002,1/4/2014 8:30:00 AM,2014,0.075
MAC000002,1/4/2014 9:00:00 AM,2014,0.123
MAC000002,1/4/2014 9:30:00 AM,2014,0.082
MAC000002,1/4/2014 10:00:00 AM,2014,0.118
MAC000002,1/4/2014 10:30:00 AM,2014,0.09
MAC000002,1/4/2014 11:00:00 AM,2014,0.106
MAC000002,1/4/2014 11:30:00 AM,2014,0.099
MAC000002,1/4/2014 12:00:00 PM,2014,0.097
MAC000002,1/4/2014 12:30:00 PM,2014,0.163
MAC000002,1/4/2014 1:00:00 PM,2014,0.104
MAC000002,1/4/2014 1:30:00 PM,2014,0.719
MAC000002,1/4/2014 2:00:00 PM,2014,0.328
MAC000002,1/4/2014 2:30:00 PM,2014,0.182
MAC000002,1/4/2014 3:00:00 PM,2014,0.105
MAC000002,1/4/2014 3:30:00 PM,2014,0.129
MAC000002,1/4/2014 4:00:00 PM,2014,0.076
MAC000002,1/4/2014 4:30:00 PM,2014,0.126
MAC000002,1/4/2014 5:00:00 PM,2014,0.675
MAC000002,1/4/2014 5:30:00 PM,2014,0.471
MAC000002,1/4/2014 6:00:00 PM,2014,0.549
MAC000002,1/4/2014 6:30:00 PM,2014,0.462
MAC000002,1/4/2014 7:00:00 PM,2014,0.415
MAC000002,1/4/2014 7:30:00 PM,2014,0.395
MAC000002,1/4/2014 8:00:00 PM,2014,1.497
MAC000002,1/4/2014 8:30:00 PM,2014,1.707
MAC000002,1/4/2014 9:00:00 PM,2014,1.3609999
MAC000002,1/4/2014 9:30:00 PM,2014,0.775
MAC000002,1/4/2014 10:00:00 PM,2014,0.453
MAC000002,1/4/2014 10:30:00 PM,2014,0.426
MAC000002,1/4/2014 11:00:00 PM,2014,0.454
MAC000002,1/4/2014 11:30:00 PM,2014,0.417
MAC000002,1/5/2014 12:00:00 AM,2014,0.43
MAC000002,1/5/2014 12:30:00 AM,2014,0.375
MAC000002,1/5/2014 1:00:00 AM,2014,0.413
MAC000002,1/5/2014 1:30:00 AM,2014,0.4
MAC000002,1/5/2014 2:00:00 AM,2014,0.326
MAC000002,1/5/2014 2:30:00 AM,2014,0.122
MAC000002,1/5/2014 3:00:00 AM,2014,0.124
MAC000002,1/5/2014 3:30:00 AM,2014,0.087
MAC000002,1/5/2014 4:00:00 AM,2014,0.126
MAC000002,1/5/2014 4:30:00 AM,2014,0.079
MAC000002,1/5/2014 5:00:00 AM,2014,0.129
MAC000002,1/5/2014 5:30:00 AM,2014,0.075
MAC000002,1/5/2014 6:00:00 AM,2014,0.127
MAC000002,1/5/2014 6:30:00 AM,2014,0.074
MAC000002,1/5/2014 7:00:00 AM,2014,0.124
MAC000002,1/5/2014 7:30:00 AM,2014,0.074
MAC000002,1/5/2014 8:00:00 AM,2014,0.123
MAC000002,1/5/2014 8:30:00 AM,2014,0.082
MAC000002,1/5/2014 9:00:00 AM,2014,0.115
MAC000002,1/5/2014 9:30:00 AM,2014,0.403
MAC000002,1/5/2014 10:00:00 AM,2014,0.587
MAC000002,1/5/2014 10:30:00 AM,2014,0.806
MAC000002,1/5/2014 11:00:00 AM,2014,0.374
MAC000002,1/5/2014 11:30:00 AM,2014,0.182
MAC000002,1/5/2014 12:00:00 PM,2014,0.114
MAC000002,1/5/2014 12:30:00 PM,2014,0.159
MAC000002,1/5/2014 1:00:00 PM,2014,0.114
MAC000002,1/5/2014 1:30:00 PM,2014,0.144
MAC000002,1/5/2014 2:00:00 PM,2014,0.121
MAC000002,1/5/2014 2:30:00 PM,2014,0.103
MAC000002,1/5/2014 3:00:00 PM,2014,0.415
MAC000002,1/5/2014 3:30:00 PM,2014,0.202
MAC000002,1/5/2014 4:00:00 PM,2014,0.184
MAC000002,1/5/2014 4:30:00 PM,2014,0.202
MAC000002,1/5/2014 5:00:00 PM,2014,0.341
MAC000002,1/5/2014 5:30:00 PM,2014,0.447
MAC000002,1/5/2014 6:00:00 PM,2014,0.425
MAC000002,1/5/2014 6:30:00 PM,2014,0.436
MAC000002,1/5/2014 7:00:00 PM,2014,0.383
MAC000002,1/5/2014 7:30:00 PM,2014,0.5
MAC000002,1/5/2014 8:00:00 PM,2014,1.09
MAC000002,1/5/2014 8:30:00 PM,2014,0.607
MAC000002,1/5/2014 9:00:00 PM,2014,0.429
MAC000002,1/5/2014 9:30:00 PM,2014,0.446
MAC000002,1/5/2014 10:00:00 PM,2014,0.447
MAC000002,1/5/2014 10:30:00 PM,2014,0.473
MAC000002,1/5/2014 11:00:00 PM,2014,0.453
MAC000002,1/5/2014 11:30:00 PM,2014,0.426
MAC000002,1/6/2014 12:00:00 AM,2014,0.42
MAC000002,1/6/2014 12:30:00 AM,2014,0.397
MAC000002,1/6/2014 1:00:00 AM,2014,0.423
MAC000002,1/6/2014 1:30:00 AM,2014,0.389
MAC000002,1/6/2014 2:00:00 AM,2014,0.369
MAC000002,1/6/2014 2:30:00 AM,2014,0.115
MAC000002,1/6/2014 3:00:00 AM,2014,0.133
MAC000002,1/6/2014 3:30:00 AM,2014,0.074
MAC000002,1/6/2014 4:00:00 AM,2014,0.13
MAC000002,1/6/2014 4:30:00 AM,2014,0.083
MAC000002,1/6/2014 5:00:00 AM,2014,0.119
MAC000002,1/6/2014 5:30:00 AM,2014,0.092
MAC000002,1/6/2014 6:00:00 AM,2014,0.108
MAC000002,1/6/2014 6:30:00 AM,2014,0.102
MAC000002,1/6/2014 7:00:00 AM,2014,0.098
MAC000002,1/6/2014 7:30:00 AM,2014,0.11
MAC000002,1/6/2014 8:00:00 AM,2014,0.088
MAC000002,1/6/2014 8:30:00 AM,2014,0.118
MAC000002,1/6/2014 9:00:00 AM,2014,0.119
MAC000002,1/6/2014 9:30:00 AM,2014,0.178
MAC000002,1/6/2014 10:00:00 AM,2014,0.488
MAC000002,1/6/2014 10:30:00 AM,2014,0.148
MAC000002,1/6/2014 11:00:00 AM,2014,0.087
MAC000002,1/6/2014 11:30:00 AM,2014,0.111
MAC000002,1/6/2014 12:00:00 PM,2014,0.14
MAC000002,1/6/2014 12:30:00 PM,2014,0.341
MAC000002,1/6/2014 1:00:00 PM,2014,0.337
MAC000002,1/6/2014 1:30:00 PM,2014,0.528
MAC000002,1/6/2014 2:00:00 PM,2014,0.491
MAC000002,1/6/2014 2:30:00 PM,2014,0.128
MAC000002,1/6/2014 3:00:00 PM,2014,0.138
MAC000002,1/6/2014 3:30:00 PM,2014,0.161
MAC000002,1/6/2014 4:00:00 PM,2014,0.282
MAC000002,1/6/2014 4:30:00 PM,2014,0.269
MAC000002,1/6/2014 5:00:00 PM,2014,0.233
MAC000002,1/6/2014 5:30:00 PM,2014,0.27
MAC000002,1/6/2014 6:00:00 PM,2014,0.219
MAC000002,1/6/2014 6:30:00 PM,2014,0.284
MAC000002,1/6/2014 7:00:00 PM,2014,0.352
MAC000002,1/6/2014 7:30:00 PM,2014,1.182
MAC000002,1/6/2014 8:00:00 PM,2014,0.606
MAC000002,1/6/2014 8:30:00 PM,2014,0.515
MAC000002,1/6/2014 9:00:00 PM,2014,0.55
MAC000002,1/6/2014 9:30:00 PM,2014,0.507
MAC000002,1/6/2014 10:00:00 PM,2014,0.559
MAC000002,1/6/2014 10:30:00 PM,2014,0.519
MAC000002,1/6/2014 11:00:00 PM,2014,0.561
MAC000002,1/6/2014 11:30:00 PM,2014,0.631
MAC000002,1/7/2014 12:00:00 AM,2014,0.523
MAC000002,1/7/2014 12:30:00 AM,2014,0.265
MAC000002,1/7/2014 1:00:00 AM,2014,0.214
MAC000002,1/7/2014 1:30:00 AM,2014,0.265
MAC000002,1/7/2014 2:00:00 AM,2014,0.15
MAC000002,1/7/2014 2:30:00 AM,2014,0.132
MAC000002,1/7/2014 3:00:00 AM,2014,0.098
MAC000002,1/7/2014 3:30:00 AM,2014,0.105
MAC000002,1/7/2014 4:00:00 AM,2014,0.115
