LCLID,timestamp,year,energy
MAC000002,10/14/2012 9:00:00 PM,2012,0.712
MAC000002,10/14/2012 9:30:00 PM,2012,0.511
MAC000002,10/14/2012 10:00:00 PM,2012,0.231
MAC000002,10/14/2012 10:30:00 PM,2012,0.21
MAC000002,10/14/2012 11:00:00 PM,2012,0.278
MAC000002,10/14/2012 11:30:00 PM,2012,0.159
MAC000002,10/15/2012 12:00:00 AM,2012,0.192
MAC000002,10/15/2012 12:30:00 AM,2012,0.097
MAC000002,10/15/2012 1:00:00 AM,2012,0.141
MAC000002,10/15/2012 1:30:00 AM,2012,0.083
MAC000002,10/15/2012 2:00:00 AM,2012,0.132
MAC000002,10/15/2012 2:30:00 AM,2012,0.07
MAC000002,10/15/2012 3:00:00 AM,2012,0.13
MAC000002,10/15/2012 3:30:00 AM,2012,0.074
MAC000002,10/15/2012 4:00:00 AM,2012,0.124
MAC000002,10/15/2012 4:30:00 AM,2012,0.078
MAC000002,10/15/2012 5:00:00 AM,2012,0.118
MAC000002,10/15/2012 5:30:00 AM,2012,0.082
MAC000002,10/15/2012 6:00:00 AM,2012,0.112
MAC000002,10/15/2012 6:30:00 AM,2012,0.087
MAC000002,10/15/2012 7:00:00 AM,2012,0.106
MAC000002,10/15/2012 7:30:00 AM,2012,0.14
MAC000002,10/15/2012 8:00:00 AM,2012,0.12
MAC000002,10/15/2012 8:30:00 AM,2012,1.075
MAC000002,10/15/2012 9:00:00 AM,2012,0.146
MAC000002,10/15/2012 9:30:00 AM,2012,0.123
MAC000002,10/15/2012 10:00:00 AM,2012,0.082
MAC000002,10/15/2012 10:30:00 AM,2012,0.127
MAC000002,10/15/2012 11:00:00 AM,2012,0.077
MAC000002,10/15/2012 11:30:00 AM,2012,0.551
MAC000002,10/15/2012 12:00:00 PM,2012,0.149
MAC000002,10/15/2012 12:30:00 PM,2012,0.129
MAC000002,10/15/2012 1:00:00 PM,2012,0.075
MAC000002,10/15/2012 1:30:00 PM,2012,0.13
MAC000002,10/15/2012 2:00:00 PM,2012,0.075
MAC000002,10/15/2012 2:30:00 PM,2012,0.129
MAC000002,10/15/2012 3:00:00 PM,2012,0.075
MAC000002,10/15/2012 3:30:00 PM,2012,0.128
MAC000002,10/15/2012 4:00:00 PM,2012,0.166
MAC000002,10/15/2012 4:30:00 PM,2012,0.194
MAC000002,10/15/2012 5:00:00 PM,2012,0.695
MAC000002,10/15/2012 5:30:00 PM,2012,0.26
